time (s),leafValue( IT("/I0/Iout1") "Design_Point" 1 ) (A),leafValue( IT("/I0/Iout2") "Design_Point" 1 ) (A),leafValue( getData(":pwr" ?result "tran") "Design_Point" 1 ) (W)
35.69E-6,52.87E-9,11.96E-9,46.54E-6
36.18E-6,47.36E-9,17.53E-9,46.42E-6
36.91E-6,38.82E-9,26.15E-9,46.24E-6
37.91E-6,29.34E-9,35.68E-9,46.05E-6
38.72E-6,24.31E-9,40.71E-9,45.94E-6
39.49E-6,21.33E-9,43.69E-9,45.86E-6
39.50E-6,21.29E-9,43.72E-9,45.86E-6
39.51E-6,21.25E-9,43.76E-9,45.72E-6
39.53E-6,21.22E-9,43.79E-9,45.60E-6
39.54E-6,21.19E-9,43.83E-9,45.50E-6
39.56E-6,21.12E-9,43.89E-9,45.31E-6
39.60E-6,21.03E-9,43.98E-9,45.06E-6
39.64E-6,20.92E-9,44.08E-9,44.84E-6
39.69E-6,20.78E-9,44.20E-9,44.61E-6
39.76E-6,20.64E-9,44.33E-9,44.37E-6
39.84E-6,20.50E-9,44.47E-9,44.09E-6
39.95E-6,20.39E-9,44.57E-9,43.77E-6
40.00E-6,20.37E-9,44.59E-9,43.62E-6
40.02E-6,20.36E-9,44.59E-9,43.74E-6
40.04E-6,20.36E-9,44.59E-9,43.86E-6
40.07E-6,20.37E-9,44.58E-9,43.96E-6
40.11E-6,20.40E-9,44.55E-9,44.10E-6
40.15E-6,20.46E-9,44.50E-9,44.19E-6
40.21E-6,20.57E-9,44.40E-9,44.24E-6
40.28E-6,20.75E-9,44.22E-9,44.27E-6
40.36E-6,21.04E-9,43.92E-9,44.27E-6
40.47E-6,21.57E-9,43.40E-9,44.27E-6
40.63E-6,22.52E-9,42.45E-9,44.25E-6
40.81E-6,23.91E-9,41.06E-9,44.24E-6
41.06E-6,26.16E-9,38.82E-9,44.22E-6
41.46E-6,30.15E-9,34.84E-9,44.20E-6
41.85E-6,34.32E-9,30.69E-9,44.17E-6
42.37E-6,39.52E-9,25.51E-9,44.13E-6
43.23E-6,47.32E-9,17.75E-9,44.10E-6
44.23E-6,54.72E-9,10.40E-9,44.16E-6
45.23E-6,59.84E-9,5.317E-9,44.32E-6
46.23E-6,62.69E-9,2.490E-9,44.52E-6
47.23E-6,63.99E-9,1.176E-9,44.74E-6
48.11E-6,64.48E-9,654.4E-12,44.92E-6
49.10E-6,64.71E-9,390.8E-12,45.08E-6
49.50E-6,64.76E-9,330.1E-12,45.13E-6
49.57E-6,64.76E-9,321.9E-12,45.13E-6
49.65E-6,64.77E-9,312.5E-12,45.12E-6
49.74E-6,64.78E-9,302.2E-12,45.11E-6
49.84E-6,64.79E-9,291.9E-12,45.11E-6
49.92E-6,64.79E-9,284.2E-12,45.12E-6
50.00E-6,64.80E-9,277.0E-12,45.12E-6
50.03E-6,64.80E-9,274.3E-12,45.13E-6
50.07E-6,64.80E-9,271.6E-12,45.14E-6
50.10E-6,64.80E-9,268.9E-12,45.15E-6
50.17E-6,64.80E-9,263.8E-12,45.17E-6
50.24E-6,64.80E-9,259.3E-12,45.18E-6
50.33E-6,64.80E-9,254.6E-12,45.19E-6
50.45E-6,64.79E-9,249.5E-12,45.19E-6
50.62E-6,64.78E-9,245.1E-12,45.17E-6
50.86E-6,64.77E-9,244.3E-12,45.15E-6
51.26E-6,64.73E-9,254.1E-12,45.10E-6
51.72E-6,64.70E-9,276.9E-12,45.04E-6
52.30E-6,64.65E-9,310.0E-12,44.99E-6
52.96E-6,64.64E-9,336.6E-12,44.95E-6
53.71E-6,64.66E-9,336.1E-12,44.95E-6
54.45E-6,64.72E-9,306.1E-12,44.97E-6
55.34E-6,64.79E-9,253.8E-12,45.02E-6
56.32E-6,64.85E-9,201.9E-12,45.08E-6
57.30E-6,64.88E-9,164.6E-12,45.11E-6
58.30E-6,64.89E-9,140.5E-12,45.13E-6
59.30E-6,64.89E-9,126.4E-12,45.14E-6
59.50E-6,64.89E-9,124.5E-12,45.14E-6
59.55E-6,64.89E-9,124.1E-12,45.14E-6
59.63E-6,64.89E-9,123.4E-12,45.14E-6
59.70E-6,64.89E-9,122.9E-12,45.15E-6
59.80E-6,64.89E-9,122.2E-12,45.15E-6
59.91E-6,64.89E-9,121.5E-12,45.15E-6
60.00E-6,64.89E-9,121.0E-12,45.15E-6
60.04E-6,64.89E-9,120.8E-12,45.15E-6
60.08E-6,64.89E-9,120.5E-12,45.14E-6
60.13E-6,64.89E-9,120.3E-12,45.14E-6
60.21E-6,64.89E-9,119.9E-12,45.12E-6
60.30E-6,64.89E-9,119.4E-12,45.11E-6
60.41E-6,64.89E-9,119.0E-12,45.11E-6
60.57E-6,64.89E-9,118.4E-12,45.10E-6
60.80E-6,64.89E-9,117.7E-12,45.10E-6
61.11E-6,64.89E-9,116.7E-12,45.10E-6
61.63E-6,64.90E-9,113.7E-12,45.12E-6
62.27E-6,64.91E-9,107.4E-12,45.18E-6
63.25E-6,64.93E-9,94.38E-12,45.28E-6
64.25E-6,64.94E-9,82.77E-12,45.38E-6
65.21E-6,64.94E-9,76.51E-12,45.44E-6
66.21E-6,64.92E-9,76.55E-12,45.46E-6
67.21E-6,64.90E-9,83.69E-12,45.45E-6
68.21E-6,64.88E-9,97.44E-12,45.43E-6
69.21E-6,64.86E-9,115.6E-12,45.40E-6
69.50E-6,64.85E-9,121.3E-12,45.39E-6
69.54E-6,64.85E-9,122.0E-12,45.95E-6
69.59E-6,64.86E-9,122.6E-12,46.61E-6
69.66E-6,64.88E-9,123.1E-12,47.15E-6
69.71E-6,64.89E-9,123.5E-12,47.51E-6
69.78E-6,64.89E-9,124.5E-12,47.85E-6
69.86E-6,64.89E-9,126.4E-12,48.25E-6
69.93E-6,64.88E-9,128.2E-12,48.59E-6
70.00E-6,64.87E-9,130.5E-12,48.93E-6
70.02E-6,64.86E-9,131.4E-12,48.63E-6
70.05E-6,64.85E-9,132.4E-12,48.38E-6
70.07E-6,64.84E-9,133.6E-12,48.16E-6
70.11E-6,64.81E-9,136.4E-12,47.92E-6
70.16E-6,64.78E-9,139.8E-12,47.79E-6
70.21E-6,64.75E-9,145.2E-12,47.73E-6
70.29E-6,64.73E-9,154.5E-12,47.71E-6
70.39E-6,64.69E-9,173.4E-12,47.72E-6
70.53E-6,64.61E-9,212.8E-12,47.73E-6
70.71E-6,64.47E-9,294.1E-12,47.71E-6
70.97E-6,64.15E-9,500.6E-12,47.64E-6
71.23E-6,63.56E-9,904.5E-12,47.57E-6
71.45E-6,62.68E-9,1.561E-9,47.50E-6
71.67E-6,61.33E-9,2.748E-9,47.43E-6
71.76E-6,60.50E-9,3.602E-9,47.40E-6
71.91E-6,58.99E-9,5.281E-9,47.35E-6
72.03E-6,57.28E-9,7.168E-9,47.31E-6
72.18E-6,54.80E-9,9.808E-9,47.26E-6
72.40E-6,50.19E-9,14.53E-9,47.18E-6
72.57E-6,45.73E-9,19.06E-9,47.12E-6
72.77E-6,39.62E-9,25.27E-9,47.04E-6
73.14E-6,28.16E-9,36.90E-9,46.90E-6
73.88E-6,10.76E-9,54.56E-9,46.61E-6
74.42E-6,4.682E-9,60.67E-9,46.40E-6
74.86E-6,2.433E-9,62.88E-9,46.24E-6
75.32E-6,1.285E-9,63.99E-9,46.08E-6
75.89E-6,660.6E-12,64.56E-9,45.90E-6
76.71E-6,313.9E-12,64.84E-9,45.69E-6
77.63E-6,174.7E-12,64.93E-9,45.52E-6
78.47E-6,119.7E-12,64.95E-9,45.42E-6
79.38E-6,88.61E-12,64.97E-9,45.34E-6
79.50E-6,85.96E-12,64.97E-9,45.33E-6
79.54E-6,85.17E-12,64.96E-9,44.82E-6
79.59E-6,84.19E-12,64.95E-9,44.28E-6
79.63E-6,83.39E-12,64.94E-9,43.96E-6
79.68E-6,81.98E-12,64.92E-9,43.62E-6
79.75E-6,79.86E-12,64.90E-9,43.30E-6
79.83E-6,77.11E-12,64.89E-9,42.96E-6
79.93E-6,74.22E-12,64.88E-9,42.54E-6
80.00E-6,72.72E-12,64.87E-9,42.26E-6
80.02E-6,72.36E-12,64.87E-9,42.44E-6
80.05E-6,71.94E-12,64.87E-9,42.63E-6
80.07E-6,71.39E-12,64.87E-9,42.79E-6
80.12E-6,70.32E-12,64.88E-9,43.00E-6
80.17E-6,69.40E-12,64.89E-9,43.11E-6
80.22E-6,69.02E-12,64.89E-9,43.18E-6
80.29E-6,69.59E-12,64.89E-9,43.21E-6
80.38E-6,71.43E-12,64.88E-9,43.21E-6
80.51E-6,76.20E-12,64.86E-9,43.20E-6
80.67E-6,85.83E-12,64.84E-9,43.18E-6
80.88E-6,107.2E-12,64.79E-9,43.18E-6
81.19E-6,164.6E-12,64.69E-9,43.21E-6
81.54E-6,294.6E-12,64.49E-9,43.26E-6
81.92E-6,594.4E-12,64.05E-9,43.33E-6
82.25E-6,1.108E-9,63.36E-9,43.40E-6
82.54E-6,2.013E-9,62.31E-9,43.48E-6
82.69E-6,2.739E-9,61.59E-9,43.52E-6
82.90E-6,4.224E-9,60.23E-9,43.58E-6
83.08E-6,5.887E-9,58.70E-9,43.64E-6
83.29E-6,8.323E-9,56.37E-9,43.71E-6
83.59E-6,12.67E-9,52.10E-9,43.81E-6
83.84E-6,17.29E-9,47.53E-9,43.91E-6
84.16E-6,24.40E-9,40.51E-9,44.03E-6
84.81E-6,39.66E-9,25.43E-9,44.29E-6
85.76E-6,55.28E-9,9.969E-9,44.63E-6
86.46E-6,60.45E-9,4.800E-9,44.85E-6
87.00E-6,62.38E-9,2.831E-9,44.99E-6
87.60E-6,63.43E-9,1.736E-9,45.12E-6
88.38E-6,64.06E-9,1.056E-9,45.25E-6
89.38E-6,64.38E-9,694.9E-12,45.35E-6
89.50E-6,64.39E-9,672.8E-12,45.36E-6
89.53E-6,64.40E-9,668.0E-12,45.50E-6
89.57E-6,64.41E-9,659.7E-12,45.69E-6
89.61E-6,64.43E-9,652.8E-12,45.81E-6
89.66E-6,64.45E-9,645.1E-12,45.92E-6
89.71E-6,64.46E-9,636.8E-12,46.02E-6
89.79E-6,64.47E-9,626.9E-12,46.15E-6
89.90E-6,64.46E-9,618.1E-12,46.31E-6
90.00E-6,64.44E-9,615.8E-12,46.45E-6
90.03E-6,64.43E-9,616.5E-12,46.34E-6
90.05E-6,64.41E-9,617.7E-12,46.25E-6
90.08E-6,64.39E-9,620.2E-12,46.17E-6
90.13E-6,64.35E-9,625.8E-12,46.09E-6
90.18E-6,64.31E-9,635.4E-12,46.05E-6
90.24E-6,64.27E-9,653.0E-12,46.01E-6
90.34E-6,64.21E-9,689.1E-12,45.97E-6
90.48E-6,64.09E-9,765.8E-12,45.92E-6
90.67E-6,63.88E-9,916.7E-12,45.86E-6
90.92E-6,63.52E-9,1.215E-9,45.80E-6
91.26E-6,62.94E-9,1.766E-9,45.77E-6
91.61E-6,62.27E-9,2.476E-9,45.76E-6
91.89E-6,61.71E-9,3.104E-9,45.77E-6
92.19E-6,61.15E-9,3.728E-9,45.80E-6
92.64E-6,60.36E-9,4.569E-9,45.84E-6
93.11E-6,59.62E-9,5.326E-9,45.89E-6
93.57E-6,58.94E-9,6.011E-9,45.93E-6
94.12E-6,58.07E-9,6.882E-9,45.96E-6
94.82E-6,56.75E-9,8.205E-9,45.96E-6
95.82E-6,54.44E-9,10.51E-9,45.92E-6
96.82E-6,51.91E-9,13.05E-9,45.85E-6
97.82E-6,49.61E-9,15.37E-9,45.79E-6
98.82E-6,47.87E-9,17.11E-9,45.73E-6
99.50E-6,47.08E-9,17.91E-9,45.70E-6
99.54E-6,47.05E-9,17.94E-9,45.86E-6
99.60E-6,47.00E-9,17.99E-9,46.06E-6
99.66E-6,46.95E-9,18.04E-9,46.20E-6
99.71E-6,46.91E-9,18.09E-9,46.30E-6
99.78E-6,46.86E-9,18.14E-9,46.41E-6
99.88E-6,46.78E-9,18.21E-9,46.55E-6
100.0E-6,46.69E-9,18.31E-9,46.72E-6
100.0E-6,46.67E-9,18.33E-9,46.64E-6
100.1E-6,46.64E-9,18.36E-9,46.56E-6
100.1E-6,46.61E-9,18.39E-9,46.50E-6
100.1E-6,46.56E-9,18.45E-9,46.44E-6
100.2E-6,46.49E-9,18.51E-9,46.43E-6
100.3E-6,46.40E-9,18.60E-9,46.42E-6
100.4E-6,46.20E-9,18.80E-9,46.44E-6
100.5E-6,45.83E-9,19.16E-9,46.46E-6
100.7E-6,45.01E-9,19.96E-9,46.46E-6
100.9E-6,43.35E-9,21.61E-9,46.45E-6
101.3E-6,39.80E-9,25.16E-9,46.40E-6
101.8E-6,33.17E-9,31.81E-9,46.33E-6
102.4E-6,26.36E-9,38.67E-9,46.28E-6
102.9E-6,19.95E-9,45.13E-9,46.24E-6
103.6E-6,13.53E-9,51.56E-9,46.21E-6
104.4E-6,9.319E-9,55.78E-9,46.17E-6
105.3E-6,6.541E-9,58.53E-9,46.11E-6
106.3E-6,4.894E-9,60.16E-9,46.04E-6
107.3E-6,4.048E-9,60.98E-9,45.97E-6
108.3E-6,3.622E-9,61.39E-9,45.92E-6
109.3E-6,3.420E-9,61.59E-9,45.88E-6
109.5E-6,3.400E-9,61.61E-9,45.88E-6
109.5E-6,3.397E-9,61.60E-9,45.51E-6
109.6E-6,3.395E-9,61.59E-9,45.12E-6
109.6E-6,3.398E-9,61.57E-9,44.84E-6
109.7E-6,3.410E-9,61.54E-9,44.61E-6
109.8E-6,3.441E-9,61.48E-9,44.39E-6
109.8E-6,3.513E-9,61.38E-9,44.14E-6
110.0E-6,3.663E-9,61.20E-9,43.84E-6
110.0E-6,3.756E-9,61.08E-9,43.71E-6
110.0E-6,3.801E-9,61.03E-9,43.83E-6
110.0E-6,3.854E-9,60.97E-9,43.96E-6
110.1E-6,3.909E-9,60.91E-9,44.07E-6
110.1E-6,4.032E-9,60.78E-9,44.22E-6
110.1E-6,4.167E-9,60.64E-9,44.30E-6
110.2E-6,4.358E-9,60.45E-9,44.36E-6
110.3E-6,4.634E-9,60.16E-9,44.40E-6
110.3E-6,5.036E-9,59.73E-9,44.42E-6
110.5E-6,5.689E-9,59.06E-9,44.44E-6
110.6E-6,6.863E-9,57.87E-9,44.47E-6
110.8E-6,8.597E-9,56.14E-9,44.50E-6
111.0E-6,11.59E-9,53.18E-9,44.54E-6
111.4E-6,17.20E-9,47.63E-9,44.58E-6
111.8E-6,25.05E-9,39.87E-9,44.61E-6
112.3E-6,35.29E-9,29.75E-9,44.59E-6
112.9E-6,46.43E-9,18.69E-9,44.52E-6
113.6E-6,53.37E-9,11.77E-9,44.44E-6
114.2E-6,57.55E-9,7.596E-9,44.39E-6
114.9E-6,60.49E-9,4.659E-9,44.38E-6
115.7E-6,62.70E-9,2.462E-9,44.45E-6
116.7E-6,63.95E-9,1.205E-9,44.59E-6
117.7E-6,64.50E-9,633.7E-12,44.75E-6
118.7E-6,64.73E-9,375.8E-12,44.90E-6
119.5E-6,64.80E-9,276.1E-12,44.99E-6
119.5E-6,64.89E-9,268.4E-12,45.62E-6
119.6E-6,65.02E-9,258.4E-12,46.38E-6
119.7E-6,64.99E-9,255.1E-12,46.89E-6
119.7E-6,64.89E-9,253.7E-12,47.23E-6
119.8E-6,64.82E-9,250.8E-12,47.57E-6
119.9E-6,64.78E-9,247.3E-12,47.95E-6
119.9E-6,64.72E-9,246.4E-12,48.27E-6
120.0E-6,64.56E-9,251.1E-12,48.59E-6
120.0E-6,64.45E-9,258.2E-12,48.23E-6
120.0E-6,64.30E-9,268.9E-12,47.93E-6
120.1E-6,64.17E-9,283.9E-12,47.67E-6
120.1E-6,64.15E-9,313.8E-12,47.40E-6
120.2E-6,64.22E-9,360.0E-12,47.25E-6
120.2E-6,64.22E-9,440.7E-12,47.17E-6
120.3E-6,64.03E-9,583.3E-12,47.14E-6
120.4E-6,63.60E-9,855.0E-12,47.14E-6
120.5E-6,62.73E-9,1.456E-9,47.14E-6
120.6E-6,61.37E-9,2.508E-9,47.13E-6
120.8E-6,59.18E-9,4.506E-9,47.11E-6
120.9E-6,57.51E-9,6.307E-9,47.10E-6
121.0E-6,55.45E-9,8.662E-9,47.09E-6
121.1E-6,53.11E-9,11.27E-9,47.08E-6
121.2E-6,49.31E-9,15.31E-9,47.06E-6
121.3E-6,44.77E-9,19.97E-9,47.05E-6
121.4E-6,40.09E-9,24.76E-9,47.04E-6
121.6E-6,33.75E-9,31.22E-9,47.02E-6
121.8E-6,23.45E-9,41.73E-9,46.99E-6
122.1E-6,13.28E-9,52.07E-9,46.96E-6
122.5E-6,7.108E-9,58.31E-9,46.91E-6
122.8E-6,3.744E-9,61.69E-9,46.87E-6
123.2E-6,1.864E-9,63.54E-9,46.81E-6
123.6E-6,874.7E-12,64.48E-9,46.73E-6
124.1E-6,394.5E-12,64.89E-9,46.62E-6
124.9E-6,184.3E-12,65.03E-9,46.45E-6
125.6E-6,115.2E-12,65.05E-9,46.27E-6
126.3E-6,85.35E-12,65.05E-9,46.10E-6
127.0E-6,65.89E-12,65.04E-9,45.94E-6
127.9E-6,50.96E-12,65.02E-9,45.78E-6
128.9E-6,39.45E-12,65.01E-9,45.64E-6
129.5E-6,34.35E-12,65.01E-9,45.58E-6
129.5E-6,32.94E-12,64.91E-9,45.46E-6
129.6E-6,23.54E-12,64.76E-9,45.34E-6
129.7E-6,6.375E-12,64.75E-9,45.29E-6
129.7E-6,-7.669E-12,64.80E-9,45.28E-6
129.8E-6,-15.68E-12,64.85E-9,45.26E-6
129.9E-6,-16.59E-12,64.85E-9,45.24E-6
129.9E-6,-14.65E-12,64.85E-9,45.22E-6
130.0E-6,-12.61E-12,64.85E-9,45.21E-6
130.0E-6,-14.19E-12,64.88E-9,45.27E-6
130.0E-6,-17.76E-12,64.96E-9,45.32E-6
130.1E-6,-21.78E-12,65.07E-9,45.37E-6
130.1E-6,-21.31E-12,65.13E-9,45.42E-6
130.2E-6,-16.34E-12,65.03E-9,45.44E-6
130.2E-6,-11.37E-12,64.90E-9,45.46E-6
130.3E-6,-8.432E-12,64.85E-9,45.47E-6
130.4E-6,-6.061E-12,64.88E-9,45.49E-6
130.5E-6,-2.449E-12,64.91E-9,45.50E-6
130.7E-6,3.429E-12,64.92E-9,45.51E-6
131.0E-6,11.40E-12,64.92E-9,45.51E-6
131.4E-6,24.39E-12,64.93E-9,45.49E-6
131.9E-6,39.67E-12,64.93E-9,45.45E-6
132.4E-6,52.97E-12,64.92E-9,45.39E-6
133.0E-6,61.84E-12,64.92E-9,45.31E-6
133.6E-6,65.18E-12,64.93E-9,45.23E-6
134.3E-6,64.08E-12,64.94E-9,45.14E-6
135.1E-6,60.03E-12,64.94E-9,45.08E-6
136.0E-6,54.74E-12,64.95E-9,45.04E-6
137.0E-6,49.60E-12,64.96E-9,45.06E-6
138.0E-6,45.67E-12,64.96E-9,45.10E-6
139.0E-6,42.89E-12,64.97E-9,45.15E-6
139.5E-6,41.88E-12,64.97E-9,45.17E-6
139.5E-6,41.87E-12,64.96E-9,44.73E-6
139.6E-6,41.90E-12,64.95E-9,44.22E-6
139.7E-6,41.49E-12,64.92E-9,43.70E-6
139.7E-6,40.70E-12,64.91E-9,43.43E-6
139.8E-6,39.51E-12,64.90E-9,43.18E-6
139.9E-6,38.24E-12,64.89E-9,42.86E-6
140.0E-6,37.65E-12,64.89E-9,42.55E-6
140.0E-6,37.59E-12,64.88E-9,42.73E-6
140.1E-6,37.49E-12,64.88E-9,42.90E-6
140.1E-6,37.29E-12,64.88E-9,43.06E-6
140.1E-6,36.79E-12,64.89E-9,43.23E-6
140.2E-6,36.59E-12,64.90E-9,43.32E-6
140.2E-6,37.02E-12,64.91E-9,43.38E-6
140.3E-6,38.60E-12,64.90E-9,43.40E-6
140.4E-6,42.20E-12,64.88E-9,43.38E-6
140.6E-6,48.70E-12,64.86E-9,43.36E-6
140.8E-6,62.48E-12,64.83E-9,43.35E-6
141.0E-6,95.84E-12,64.76E-9,43.37E-6
141.4E-6,167.8E-12,64.64E-9,43.42E-6
141.8E-6,373.4E-12,64.32E-9,43.53E-6
142.1E-6,735.2E-12,63.79E-9,43.65E-6
142.4E-6,1.292E-9,63.03E-9,43.77E-6
142.7E-6,2.294E-9,61.90E-9,43.89E-6
142.9E-6,3.187E-9,61.07E-9,43.96E-6
143.0E-6,4.547E-9,59.89E-9,44.04E-6
143.2E-6,6.049E-9,58.55E-9,44.12E-6
143.4E-6,8.501E-9,56.22E-9,44.22E-6
143.6E-6,11.34E-9,53.43E-9,44.32E-6
143.8E-6,14.51E-9,50.29E-9,44.42E-6
144.1E-6,19.43E-9,45.44E-9,44.54E-6
144.6E-6,30.23E-9,34.76E-9,44.77E-6
145.6E-6,46.57E-9,18.57E-9,45.12E-6
146.4E-6,53.67E-9,11.47E-9,45.32E-6
147.0E-6,57.09E-9,8.030E-9,45.44E-6
147.7E-6,59.28E-9,5.811E-9,45.54E-6
148.6E-6,60.71E-9,4.350E-9,45.63E-6
149.5E-6,61.36E-9,3.668E-9,45.68E-6
149.5E-6,61.38E-9,3.651E-9,45.99E-6
149.6E-6,61.42E-9,3.625E-9,46.38E-6
149.7E-6,61.45E-9,3.603E-9,46.65E-6
149.7E-6,61.47E-9,3.587E-9,46.84E-6
149.8E-6,61.47E-9,3.576E-9,47.02E-6
149.9E-6,61.45E-9,3.580E-9,47.27E-6
150.0E-6,61.37E-9,3.628E-9,47.57E-6
