time (s),leafValue( IT("/I4/Iout1") "Design_Point" 1 ) (A),leafValue( IT("/I4/Iout2") "Design_Point" 1 ) (A),leafValue( IT("/I4/Iout3") "Design_Point" 1 ) (A),leafValue( getData(":pwr" ?result "tran") "Design_Point" 1 ) (W)
12.33E-6,2.745E-9,74.47E-9,164.2E-12,11.69E-6
12.42E-6,2.603E-9,74.54E-9,117.6E-12,11.70E-6
12.52E-6,2.474E-9,74.50E-9,71.98E-12,11.71E-6
12.62E-6,2.380E-9,74.31E-9,35.97E-12,11.73E-6
12.73E-6,2.285E-9,74.06E-9,-3.033E-12,11.74E-6
12.86E-6,2.183E-9,73.81E-9,-45.47E-12,11.75E-6
12.99E-6,2.082E-9,73.57E-9,-83.56E-12,11.76E-6
13.13E-6,1.972E-9,73.31E-9,-114.8E-12,11.77E-6
13.18E-6,1.883E-9,73.13E-9,-125.7E-12,11.77E-6
13.22E-6,1.679E-9,72.82E-9,-131.5E-12,11.78E-6
13.26E-6,1.294E-9,72.23E-9,-132.3E-12,11.78E-6
13.29E-6,920.7E-12,71.37E-9,-131.1E-12,11.78E-6
13.34E-6,646.0E-12,70.17E-9,-133.8E-12,11.79E-6
13.38E-6,561.2E-12,69.36E-9,-143.7E-12,11.79E-6
13.41E-6,539.5E-12,69.01E-9,-157.0E-12,11.79E-6
13.45E-6,519.9E-12,69.00E-9,-172.9E-12,11.80E-6
13.51E-6,495.8E-12,69.28E-9,-188.4E-12,11.80E-6
13.60E-6,460.1E-12,69.59E-9,-198.9E-12,11.81E-6
13.68E-6,429.0E-12,69.61E-9,-203.6E-12,11.81E-6
13.77E-6,394.6E-12,69.48E-9,-210.6E-12,11.82E-6
13.93E-6,347.1E-12,69.36E-9,-224.5E-12,11.82E-6
14.15E-6,297.4E-12,69.34E-9,-239.1E-12,11.83E-6
14.38E-6,258.0E-12,69.33E-9,-248.4E-12,11.84E-6
14.60E-6,229.4E-12,69.31E-9,-253.1E-12,11.84E-6
14.83E-6,204.5E-12,69.30E-9,-255.0E-12,11.84E-6
15.10E-6,182.2E-12,69.30E-9,-253.8E-12,11.84E-6
15.40E-6,162.3E-12,69.31E-9,-249.4E-12,11.84E-6
15.75E-6,144.3E-12,69.33E-9,-241.6E-12,11.84E-6
16.15E-6,127.8E-12,69.36E-9,-230.3E-12,11.84E-6
16.63E-6,112.4E-12,69.40E-9,-215.0E-12,11.83E-6
17.22E-6,97.65E-12,69.46E-9,-195.0E-12,11.83E-6
18.06E-6,82.43E-12,69.53E-9,-167.8E-12,11.83E-6
19.06E-6,69.46E-12,69.61E-9,-138.0E-12,11.82E-6
19.50E-6,65.04E-12,69.65E-9,-125.3E-12,11.82E-6
19.61E-6,64.05E-12,69.65E-9,-122.1E-12,11.85E-6
19.75E-6,62.83E-12,69.66E-9,-118.2E-12,11.88E-6
19.89E-6,61.57E-12,69.67E-9,-113.8E-12,11.89E-6
20.00E-6,60.71E-12,69.68E-9,-110.5E-12,11.90E-6
20.08E-6,60.08E-12,69.69E-9,-108.2E-12,11.89E-6
20.15E-6,59.51E-12,69.69E-9,-105.7E-12,11.87E-6
20.22E-6,58.97E-12,69.69E-9,-103.3E-12,11.87E-6
20.36E-6,57.90E-12,69.70E-9,-98.31E-12,11.86E-6
20.53E-6,56.72E-12,69.71E-9,-91.60E-12,11.86E-6
20.77E-6,55.05E-12,69.71E-9,-80.37E-12,11.87E-6
21.11E-6,52.87E-12,69.71E-9,-59.34E-12,11.87E-6
21.67E-6,49.60E-12,69.67E-9,-3.665E-12,11.86E-6
22.46E-6,45.60E-12,69.50E-9,158.9E-12,11.86E-6
23.40E-6,41.69E-12,68.99E-9,575.6E-12,11.85E-6
24.15E-6,38.98E-12,68.20E-9,1.176E-9,11.84E-6
24.81E-6,36.92E-12,67.25E-9,1.886E-9,11.84E-6
25.42E-6,35.18E-12,66.17E-9,2.671E-9,11.83E-6
26.04E-6,33.60E-12,65.01E-9,3.495E-9,11.83E-6
26.73E-6,31.97E-12,63.71E-9,4.462E-9,11.82E-6
26.95E-6,31.50E-12,63.32E-9,4.837E-9,11.82E-6
27.33E-6,30.72E-12,62.58E-9,5.907E-9,11.82E-6
27.61E-6,30.15E-12,61.93E-9,7.118E-9,11.82E-6
27.84E-6,29.72E-12,61.29E-9,8.171E-9,11.82E-6
28.20E-6,29.04E-12,60.19E-9,9.609E-9,11.83E-6
28.49E-6,28.52E-12,59.23E-9,10.62E-9,11.83E-6
28.75E-6,28.06E-12,58.34E-9,11.50E-9,11.82E-6
29.07E-6,27.52E-12,57.26E-9,12.58E-9,11.82E-6
29.50E-6,26.86E-12,55.79E-9,14.08E-9,11.82E-6
29.54E-6,25.23E-12,55.50E-9,14.18E-9,11.69E-6
29.59E-6,24.32E-12,55.07E-9,14.22E-9,11.58E-6
29.67E-6,18.52E-12,54.97E-9,13.73E-9,11.48E-6
29.73E-6,9.226E-12,56.29E-9,12.49E-9,11.46E-6
29.79E-6,-1.439E-12,59.50E-9,10.18E-9,11.46E-6
29.86E-6,-10.47E-12,64.52E-9,7.132E-9,11.47E-6
29.94E-6,-14.47E-12,69.21E-9,4.634E-9,11.48E-6
30.00E-6,-15.04E-12,71.02E-9,3.600E-9,11.47E-6
30.02E-6,-15.40E-12,71.15E-9,3.354E-9,11.49E-6
30.05E-6,-15.66E-12,71.16E-9,3.164E-9,11.50E-6
30.07E-6,-20.77E-12,71.14E-9,3.009E-9,11.50E-6
30.12E-6,-34.15E-12,71.33E-9,2.793E-9,11.50E-6
30.17E-6,-43.61E-12,71.80E-9,2.659E-9,11.48E-6
30.22E-6,-47.18E-12,72.40E-9,2.549E-9,11.46E-6
30.28E-6,-44.48E-12,72.85E-9,2.456E-9,11.42E-6
30.37E-6,-40.07E-12,72.96E-9,2.364E-9,11.38E-6
30.48E-6,-42.25E-12,72.77E-9,2.253E-9,11.32E-6
30.60E-6,-58.91E-12,72.57E-9,2.144E-9,11.26E-6
30.73E-6,-95.13E-12,72.42E-9,2.035E-9,11.21E-6
30.90E-6,-166.6E-12,72.17E-9,1.917E-9,11.17E-6
31.06E-6,-263.1E-12,71.83E-9,1.812E-9,11.14E-6
31.23E-6,-370.6E-12,71.44E-9,1.712E-9,11.11E-6
31.43E-6,-495.7E-12,70.87E-9,1.553E-9,11.09E-6
31.48E-6,-520.7E-12,70.64E-9,1.430E-9,11.09E-6
31.54E-6,-552.9E-12,69.78E-9,967.4E-12,11.08E-6
31.59E-6,-575.1E-12,68.86E-9,655.2E-12,11.08E-6
31.64E-6,-597.6E-12,68.09E-9,521.6E-12,11.07E-6
31.69E-6,-623.3E-12,67.56E-9,474.1E-12,11.07E-6
31.73E-6,-650.2E-12,67.35E-9,448.8E-12,11.06E-6
31.79E-6,-682.2E-12,67.37E-9,429.4E-12,11.06E-6
31.87E-6,-719.5E-12,67.53E-9,403.5E-12,11.06E-6
32.02E-6,-774.0E-12,67.60E-9,359.7E-12,11.05E-6
32.20E-6,-831.1E-12,67.43E-9,314.2E-12,11.04E-6
32.42E-6,-888.5E-12,67.24E-9,272.0E-12,11.03E-6
32.67E-6,-937.4E-12,67.15E-9,236.0E-12,11.02E-6
32.92E-6,-967.0E-12,67.11E-9,208.3E-12,11.00E-6
33.18E-6,-761.1E-12,66.84E-9,186.5E-12,10.99E-6
33.24E-6,-303.6E-12,66.44E-9,181.9E-12,10.99E-6
33.32E-6,1.818E-9,64.48E-9,176.3E-12,10.99E-6
33.37E-6,4.979E-9,61.65E-9,173.3E-12,10.99E-6
33.43E-6,11.51E-9,55.53E-9,170.6E-12,10.99E-6
33.47E-6,19.86E-9,47.24E-9,169.0E-12,10.99E-6
33.52E-6,28.29E-9,38.15E-9,168.0E-12,11.00E-6
33.56E-6,36.76E-9,27.92E-9,166.8E-12,11.00E-6
33.60E-6,42.12E-9,20.92E-9,165.2E-12,11.00E-6
33.64E-6,48.52E-9,14.64E-9,162.4E-12,11.00E-6
33.67E-6,55.36E-9,11.22E-9,159.8E-12,11.01E-6
33.69E-6,61.65E-9,9.146E-9,157.6E-12,11.03E-6
33.72E-6,67.28E-9,7.480E-9,155.6E-12,11.04E-6
33.76E-6,72.68E-9,5.524E-9,152.8E-12,11.05E-6
33.79E-6,73.74E-9,4.628E-9,151.3E-12,11.06E-6
33.82E-6,73.70E-9,4.038E-9,149.8E-12,11.06E-6
33.85E-6,73.28E-9,3.542E-9,147.8E-12,11.06E-6
33.89E-6,72.71E-9,3.098E-9,145.1E-12,11.05E-6
33.95E-6,72.34E-9,2.680E-9,141.7E-12,11.05E-6
34.03E-6,72.45E-9,2.326E-9,137.8E-12,11.04E-6
34.13E-6,72.71E-9,2.069E-9,133.8E-12,11.04E-6
34.28E-6,72.74E-9,1.833E-9,128.5E-12,11.03E-6
34.46E-6,72.58E-9,1.652E-9,122.4E-12,11.02E-6
34.67E-6,72.44E-9,1.501E-9,115.7E-12,11.01E-6
34.93E-6,72.32E-9,1.365E-9,108.4E-12,11.00E-6
35.26E-6,72.16E-9,1.234E-9,100.5E-12,10.99E-6
35.67E-6,71.93E-9,1.093E-9,91.95E-12,10.98E-6
35.80E-6,71.84E-9,1.043E-9,89.57E-12,10.98E-6
35.87E-6,71.78E-9,1.009E-9,88.43E-12,10.97E-6
36.00E-6,71.42E-9,836.5E-12,86.22E-12,10.97E-6
36.10E-6,70.77E-9,555.1E-12,84.65E-12,10.97E-6
36.17E-6,70.25E-9,394.7E-12,83.62E-12,10.97E-6
36.24E-6,69.92E-9,322.8E-12,82.48E-12,10.97E-6
36.31E-6,69.85E-9,299.2E-12,81.34E-12,10.97E-6
36.39E-6,69.93E-9,290.9E-12,80.22E-12,10.97E-6
36.48E-6,70.02E-9,279.0E-12,78.89E-12,10.97E-6
36.64E-6,70.04E-9,257.5E-12,76.87E-12,10.96E-6
36.94E-6,70.00E-9,219.5E-12,73.07E-12,10.96E-6
37.33E-6,70.00E-9,183.6E-12,68.75E-12,10.96E-6
38.00E-6,70.00E-9,143.4E-12,62.40E-12,10.95E-6
38.88E-6,70.00E-9,110.7E-12,55.55E-12,10.94E-6
39.50E-6,70.00E-9,95.87E-12,51.64E-12,10.94E-6
39.54E-6,70.24E-9,90.48E-12,50.52E-12,11.00E-6
39.60E-6,70.82E-9,75.12E-12,51.64E-12,11.08E-6
39.67E-6,71.12E-9,54.69E-12,51.62E-12,11.15E-6
39.73E-6,70.62E-9,38.24E-12,51.35E-12,11.21E-6
39.80E-6,69.35E-9,21.04E-12,50.63E-12,11.27E-6
39.88E-6,67.54E-9,-8.653E-12,49.14E-12,11.34E-6
39.94E-6,66.20E-9,-44.69E-12,47.58E-12,11.40E-6
40.00E-6,64.80E-9,-101.8E-12,45.08E-12,11.47E-6
40.02E-6,64.28E-9,-129.0E-12,44.02E-12,11.40E-6
40.04E-6,63.75E-9,-156.8E-12,40.55E-12,11.34E-6
40.07E-6,63.16E-9,-185.7E-12,38.10E-12,11.28E-6
40.11E-6,62.49E-9,-238.8E-12,34.76E-12,11.22E-6
40.15E-6,62.46E-9,-304.7E-12,30.58E-12,11.17E-6
40.19E-6,63.17E-9,-373.4E-12,25.63E-12,11.15E-6
40.24E-6,64.44E-9,-443.2E-12,19.85E-12,11.15E-6
40.31E-6,65.96E-9,-517.6E-12,12.93E-12,11.15E-6
40.40E-6,66.94E-9,-596.4E-12,4.953E-12,11.16E-6
40.49E-6,66.89E-9,-673.2E-12,-3.172E-12,11.17E-6
40.59E-6,66.37E-9,-754.2E-12,-11.46E-12,11.18E-6
40.68E-6,65.94E-9,-832.1E-12,-15.13E-12,11.19E-6
40.78E-6,65.70E-9,-910.7E-12,-14.77E-12,11.20E-6
40.91E-6,65.53E-9,-1.016E-9,-18.64E-12,11.21E-6
41.03E-6,65.40E-9,-1.097E-9,-32.98E-12,11.23E-6
41.16E-6,65.21E-9,-1.172E-9,-63.82E-12,11.26E-6
41.32E-6,64.88E-9,-1.258E-9,-137.4E-12,11.30E-6
41.47E-6,64.50E-9,-1.325E-9,-244.7E-12,11.34E-6
41.61E-6,64.09E-9,-1.362E-9,-365.1E-12,11.38E-6
41.76E-6,62.80E-9,-558.2E-12,-499.0E-12,11.42E-6
41.80E-6,61.80E-9,821.3E-12,-528.9E-12,11.43E-6
41.85E-6,58.39E-9,5.622E-9,-550.0E-12,11.45E-6
41.88E-6,53.56E-9,12.54E-9,-541.9E-12,11.46E-6
41.91E-6,45.68E-9,23.29E-9,-498.2E-12,11.48E-6
41.95E-6,36.15E-9,35.26E-9,-411.5E-12,11.50E-6
41.98E-6,25.80E-9,46.64E-9,-268.7E-12,11.53E-6
42.01E-6,18.82E-9,53.37E-9,-127.5E-12,11.54E-6
42.04E-6,13.17E-9,59.86E-9,32.39E-12,11.57E-6
42.06E-6,10.14E-9,66.02E-9,146.0E-12,11.59E-6
42.08E-6,8.300E-9,71.46E-9,229.0E-12,11.62E-6
42.10E-6,6.878E-9,75.86E-9,302.2E-12,11.64E-6
42.12E-6,5.854E-9,77.85E-9,357.9E-12,11.66E-6
42.14E-6,5.143E-9,77.88E-9,391.6E-12,11.67E-6
42.17E-6,4.654E-9,77.00E-9,403.9E-12,11.67E-6
42.19E-6,4.255E-9,75.82E-9,398.2E-12,11.68E-6
42.22E-6,3.897E-9,74.77E-9,374.0E-12,11.68E-6
42.27E-6,3.546E-9,74.25E-9,330.6E-12,11.68E-6
42.33E-6,3.236E-9,74.47E-9,280.7E-12,11.69E-6
42.40E-6,2.978E-9,74.95E-9,235.3E-12,11.71E-6
42.51E-6,2.732E-9,75.05E-9,185.5E-12,11.73E-6
42.64E-6,2.536E-9,74.64E-9,129.5E-12,11.74E-6
42.79E-6,2.361E-9,74.20E-9,63.82E-12,11.76E-6
42.98E-6,2.201E-9,73.87E-9,-1.930E-12,11.78E-6
43.20E-6,2.041E-9,73.50E-9,-61.27E-12,11.80E-6
43.25E-6,1.994E-9,73.39E-9,-74.31E-12,11.80E-6
43.37E-6,1.794E-9,72.95E-9,-96.35E-12,11.81E-6
43.39E-6,1.635E-9,72.74E-9,-99.31E-12,11.81E-6
43.43E-6,1.182E-9,72.02E-9,-100.1E-12,11.81E-6
43.47E-6,810.1E-12,71.03E-9,-99.34E-12,11.82E-6
43.50E-6,641.7E-12,70.10E-9,-102.3E-12,11.82E-6
43.54E-6,568.6E-12,69.37E-9,-111.5E-12,11.82E-6
43.58E-6,536.7E-12,69.02E-9,-125.0E-12,11.82E-6
43.62E-6,516.0E-12,69.01E-9,-141.2E-12,11.83E-6
43.68E-6,491.0E-12,69.30E-9,-156.5E-12,11.83E-6
43.78E-6,450.4E-12,69.61E-9,-168.0E-12,11.84E-6
43.90E-6,404.7E-12,69.57E-9,-176.9E-12,11.85E-6
44.05E-6,358.8E-12,69.41E-9,-189.2E-12,11.85E-6
44.23E-6,312.3E-12,69.34E-9,-204.4E-12,11.86E-6
44.50E-6,263.1E-12,69.32E-9,-218.8E-12,11.86E-6
44.85E-6,217.5E-12,69.30E-9,-228.4E-12,11.86E-6
45.23E-6,183.9E-12,69.29E-9,-231.0E-12,11.86E-6
45.64E-6,156.9E-12,69.31E-9,-227.3E-12,11.86E-6
46.10E-6,134.9E-12,69.34E-9,-218.1E-12,11.85E-6
46.63E-6,116.2E-12,69.38E-9,-204.0E-12,11.85E-6
47.27E-6,99.58E-12,69.44E-9,-185.0E-12,11.84E-6
48.10E-6,83.87E-12,69.52E-9,-159.9E-12,11.83E-6
49.10E-6,70.47E-12,69.60E-9,-131.8E-12,11.83E-6
49.50E-6,66.29E-12,69.63E-9,-120.9E-12,11.83E-6
49.75E-6,64.28E-12,69.65E-9,-115.5E-12,11.82E-6
50.00E-6,62.41E-12,69.66E-9,-109.7E-12,11.82E-6
50.26E-6,60.22E-12,69.67E-9,-102.1E-12,11.82E-6
50.47E-6,58.41E-12,69.68E-9,-95.68E-12,11.82E-6
50.69E-6,56.67E-12,69.69E-9,-88.29E-12,11.82E-6
51.12E-6,53.64E-12,69.70E-9,-69.00E-12,11.82E-6
51.85E-6,49.33E-12,69.68E-9,-10.47E-12,11.82E-6
52.85E-6,44.49E-12,69.46E-9,194.9E-12,11.82E-6
53.79E-6,40.76E-12,68.88E-9,654.1E-12,11.82E-6
54.53E-6,38.24E-12,68.05E-9,1.277E-9,11.82E-6
55.18E-6,36.27E-12,67.06E-9,2.028E-9,11.82E-6
55.82E-6,34.51E-12,65.87E-9,3.006E-9,11.82E-6
56.07E-6,33.87E-12,65.36E-9,3.496E-9,11.82E-6
56.51E-6,32.80E-12,64.39E-9,4.652E-9,11.82E-6
56.87E-6,31.98E-12,63.51E-9,5.836E-9,11.82E-6
57.20E-6,31.29E-12,62.59E-9,6.999E-9,11.82E-6
57.77E-6,30.11E-12,60.83E-9,8.970E-9,11.82E-6
58.20E-6,29.30E-12,59.41E-9,10.42E-9,11.82E-6
58.60E-6,28.56E-12,58.03E-9,11.80E-9,11.82E-6
59.12E-6,27.68E-12,56.26E-9,13.60E-9,11.82E-6
59.50E-6,27.06E-12,54.98E-9,14.90E-9,11.82E-6
59.55E-6,25.45E-12,54.66E-9,15.01E-9,11.70E-6
59.61E-6,24.02E-12,54.27E-9,15.02E-9,11.62E-6
59.68E-6,18.38E-12,54.40E-9,14.52E-9,11.57E-6
59.75E-6,9.379E-12,55.99E-9,13.10E-9,11.56E-6
59.82E-6,-766.9E-15,59.68E-9,10.42E-9,11.57E-6
59.89E-6,-8.777E-12,64.81E-9,7.188E-9,11.59E-6
59.95E-6,-11.66E-12,68.26E-9,5.315E-9,11.60E-6
60.00E-6,-12.47E-12,70.64E-9,4.066E-9,11.60E-6
60.02E-6,-12.27E-12,71.19E-9,3.683E-9,11.62E-6
60.05E-6,-12.11E-12,71.60E-9,3.415E-9,11.62E-6
60.07E-6,-15.33E-12,71.95E-9,3.201E-9,11.63E-6
60.12E-6,-22.78E-12,72.59E-9,2.926E-9,11.62E-6
60.17E-6,-26.57E-12,73.09E-9,2.772E-9,11.61E-6
60.22E-6,-25.75E-12,73.40E-9,2.659E-9,11.58E-6
60.29E-6,-21.73E-12,73.39E-9,2.561E-9,11.55E-6
60.38E-6,-18.40E-12,73.20E-9,2.458E-9,11.50E-6
60.47E-6,-19.52E-12,73.07E-9,2.360E-9,11.46E-6
60.58E-6,-26.16E-12,73.05E-9,2.262E-9,11.42E-6
60.71E-6,-41.82E-12,73.03E-9,2.160E-9,11.38E-6
60.88E-6,-74.85E-12,72.89E-9,2.046E-9,11.35E-6
61.09E-6,-142.7E-12,72.60E-9,1.920E-9,11.32E-6
61.28E-6,-233.5E-12,72.22E-9,1.803E-9,11.31E-6
61.33E-6,-258.0E-12,72.11E-9,1.765E-9,11.30E-6
61.42E-6,-303.7E-12,71.63E-9,1.550E-9,11.30E-6
61.46E-6,-319.1E-12,71.16E-9,1.257E-9,11.29E-6
61.49E-6,-332.5E-12,70.42E-9,907.1E-12,11.29E-6
61.54E-6,-348.7E-12,69.46E-9,643.9E-12,11.29E-6
61.59E-6,-374.0E-12,68.53E-9,515.7E-12,11.28E-6
61.63E-6,-397.0E-12,68.13E-9,492.1E-12,11.28E-6
61.67E-6,-423.1E-12,68.02E-9,473.6E-12,11.28E-6
61.73E-6,-455.0E-12,68.16E-9,452.5E-12,11.28E-6
61.82E-6,-493.4E-12,68.38E-9,419.1E-12,11.28E-6
61.98E-6,-547.9E-12,68.35E-9,367.0E-12,11.28E-6
62.17E-6,-604.9E-12,68.11E-9,318.4E-12,11.27E-6
62.41E-6,-666.5E-12,67.93E-9,272.1E-12,11.27E-6
62.67E-6,-715.0E-12,67.85E-9,235.6E-12,11.26E-6
62.93E-6,-746.5E-12,67.80E-9,207.7E-12,11.25E-6
63.19E-6,-764.2E-12,67.77E-9,185.4E-12,11.24E-6
63.46E-6,-769.0E-12,67.76E-9,166.7E-12,11.22E-6
63.76E-6,-663.2E-12,67.67E-9,150.5E-12,11.21E-6
63.86E-6,-344.9E-12,67.36E-9,145.7E-12,11.21E-6
63.95E-6,703.4E-12,66.30E-9,141.6E-12,11.20E-6
64.02E-6,2.729E-9,64.25E-9,138.8E-12,11.20E-6
64.10E-6,7.632E-9,59.07E-9,136.2E-12,11.20E-6
64.16E-6,14.18E-9,51.90E-9,134.6E-12,11.20E-6
64.22E-6,21.17E-9,43.83E-9,133.5E-12,11.20E-6
64.27E-6,28.43E-9,34.79E-9,132.1E-12,11.20E-6
64.34E-6,36.86E-9,24.24E-9,129.7E-12,11.20E-6
64.37E-6,41.27E-9,20.05E-9,128.4E-12,11.20E-6
64.40E-6,48.20E-9,15.97E-9,126.6E-12,11.21E-6
64.43E-6,55.29E-9,13.13E-9,125.1E-12,11.22E-6
64.46E-6,61.33E-9,10.91E-9,124.0E-12,11.23E-6
64.50E-6,67.60E-9,8.219E-9,122.7E-12,11.24E-6
64.54E-6,70.19E-9,6.485E-9,121.8E-12,11.25E-6
64.57E-6,71.05E-9,5.344E-9,120.7E-12,11.25E-6
64.60E-6,71.34E-9,4.390E-9,119.2E-12,11.25E-6
64.65E-6,71.34E-9,3.543E-9,117.0E-12,11.25E-6
64.71E-6,71.36E-9,2.807E-9,114.4E-12,11.24E-6
64.80E-6,71.62E-9,2.215E-9,111.4E-12,11.24E-6
64.91E-6,71.88E-9,1.838E-9,108.7E-12,11.23E-6
65.07E-6,71.92E-9,1.536E-9,104.7E-12,11.23E-6
65.25E-6,71.82E-9,1.341E-9,100.5E-12,11.22E-6
65.46E-6,71.72E-9,1.194E-9,95.93E-12,11.21E-6
65.72E-6,71.64E-9,1.071E-9,90.95E-12,11.20E-6
66.04E-6,71.54E-9,960.4E-12,85.44E-12,11.19E-6
66.44E-6,71.41E-9,854.5E-12,79.35E-12,11.19E-6
66.96E-6,71.26E-9,748.6E-12,72.75E-12,11.18E-6
67.62E-6,71.06E-9,633.9E-12,65.75E-12,11.16E-6
67.82E-6,70.98E-9,592.7E-12,63.82E-12,11.16E-6
68.01E-6,70.85E-9,530.8E-12,62.20E-12,11.16E-6
