time (s),leafValue( IT("/I0/Iout1") "Design_Point" 1 ) (A),leafValue( IT("/I0/Iout2") "Design_Point" 1 ) (A),leafValue( getData(":pwr" ?result "tran") "Design_Point" 1 ) (W)
17.26E-6,2.658E-9,13.06E-9,11.20E-6
17.48E-6,3.164E-9,12.69E-9,11.21E-6
17.79E-6,3.824E-9,12.11E-9,11.21E-6
18.01E-6,4.277E-9,11.66E-9,11.22E-6
18.25E-6,4.782E-9,11.16E-9,11.23E-6
18.57E-6,5.496E-9,10.46E-9,11.24E-6
19.20E-6,7.001E-9,8.979E-9,11.26E-6
19.50E-6,7.713E-9,8.281E-9,11.27E-6
19.58E-6,7.912E-9,8.084E-9,11.30E-6
19.68E-6,8.147E-9,7.854E-9,11.33E-6
19.79E-6,8.392E-9,7.613E-9,11.36E-6
19.89E-6,8.645E-9,7.366E-9,11.39E-6
20.00E-6,8.894E-9,7.121E-9,11.40E-6
20.06E-6,9.039E-9,6.978E-9,11.39E-6
20.12E-6,9.172E-9,6.848E-9,11.38E-6
20.18E-6,9.307E-9,6.716E-9,11.37E-6
20.30E-6,9.572E-9,6.456E-9,11.36E-6
20.44E-6,9.872E-9,6.161E-9,11.35E-6
20.61E-6,10.22E-9,5.817E-9,11.36E-6
20.83E-6,10.66E-9,5.380E-9,11.38E-6
21.13E-6,11.18E-9,4.870E-9,11.40E-6
21.53E-6,11.77E-9,4.282E-9,11.42E-6
22.10E-6,12.44E-9,3.609E-9,11.45E-6
22.78E-6,13.04E-9,3.011E-9,11.47E-6
23.76E-6,13.64E-9,2.402E-9,11.51E-6
24.76E-6,14.08E-9,1.956E-9,11.54E-6
25.76E-6,14.43E-9,1.605E-9,11.58E-6
26.76E-6,14.73E-9,1.314E-9,11.61E-6
27.76E-6,14.98E-9,1.068E-9,11.64E-6
28.76E-6,15.18E-9,862.4E-12,11.67E-6
29.50E-6,15.31E-9,736.2E-12,11.69E-6
29.54E-6,15.32E-9,729.4E-12,11.80E-6
29.61E-6,15.33E-9,719.4E-12,11.99E-6
29.71E-6,15.35E-9,703.2E-12,12.28E-6
29.80E-6,15.38E-9,689.5E-12,12.48E-6
29.88E-6,15.39E-9,677.3E-12,12.63E-6
29.94E-6,15.40E-9,669.8E-12,12.72E-6
30.00E-6,15.41E-9,662.5E-12,12.79E-6
30.02E-6,15.41E-9,660.0E-12,12.73E-6
30.04E-6,15.41E-9,657.6E-12,12.68E-6
30.07E-6,15.41E-9,655.0E-12,12.62E-6
30.11E-6,15.41E-9,650.1E-12,12.51E-6
30.17E-6,15.41E-9,644.5E-12,12.39E-6
30.24E-6,15.40E-9,639.0E-12,12.29E-6
30.32E-6,15.40E-9,633.7E-12,12.21E-6
30.42E-6,15.40E-9,628.1E-12,12.15E-6
30.55E-6,15.40E-9,622.2E-12,12.11E-6
30.71E-6,15.40E-9,616.1E-12,12.08E-6
30.92E-6,15.40E-9,611.2E-12,12.08E-6
31.18E-6,15.40E-9,609.3E-12,12.08E-6
31.49E-6,15.39E-9,610.9E-12,12.10E-6
31.88E-6,15.38E-9,614.9E-12,12.11E-6
32.40E-6,15.38E-9,616.7E-12,12.13E-6
33.07E-6,15.40E-9,605.8E-12,12.15E-6
33.90E-6,15.45E-9,571.7E-12,12.18E-6
34.89E-6,15.51E-9,516.9E-12,12.22E-6
35.89E-6,15.55E-9,470.5E-12,12.26E-6
36.89E-6,15.56E-9,449.2E-12,12.29E-6
37.89E-6,15.53E-9,465.4E-12,12.32E-6
38.89E-6,15.44E-9,533.7E-12,12.34E-6
39.50E-6,15.34E-9,610.4E-12,12.34E-6
39.54E-6,15.33E-9,617.2E-12,12.24E-6
39.60E-6,15.32E-9,627.2E-12,12.09E-6
39.70E-6,15.30E-9,643.7E-12,11.88E-6
39.79E-6,15.27E-9,660.3E-12,11.71E-6
39.88E-6,15.24E-9,677.7E-12,11.57E-6
39.94E-6,15.22E-9,689.6E-12,11.48E-6
40.00E-6,15.20E-9,702.3E-12,11.40E-6
40.02E-6,15.20E-9,706.8E-12,11.40E-6
40.04E-6,15.19E-9,711.3E-12,11.41E-6
40.07E-6,15.19E-9,716.2E-12,11.43E-6
40.12E-6,15.18E-9,726.0E-12,11.46E-6
40.18E-6,15.17E-9,740.0E-12,11.53E-6
40.26E-6,15.17E-9,753.8E-12,11.59E-6
40.34E-6,15.17E-9,768.4E-12,11.65E-6
40.43E-6,15.16E-9,784.5E-12,11.70E-6
40.55E-6,15.15E-9,803.9E-12,11.74E-6
40.70E-6,15.13E-9,826.1E-12,11.78E-6
40.87E-6,15.11E-9,848.3E-12,11.80E-6
41.06E-6,15.09E-9,869.5E-12,11.82E-6
41.27E-6,15.09E-9,887.5E-12,11.83E-6
41.54E-6,15.09E-9,901.1E-12,11.83E-6
41.86E-6,15.09E-9,909.0E-12,11.83E-6
42.23E-6,15.09E-9,910.5E-12,11.83E-6
42.67E-6,15.10E-9,908.7E-12,11.82E-6
43.27E-6,15.09E-9,910.0E-12,11.81E-6
44.11E-6,15.06E-9,930.9E-12,11.79E-6
44.95E-6,15.01E-9,977.9E-12,11.77E-6
45.95E-6,14.92E-9,1.058E-9,11.74E-6
46.95E-6,14.84E-9,1.145E-9,11.71E-6
47.95E-6,14.77E-9,1.212E-9,11.69E-6
48.95E-6,14.76E-9,1.237E-9,11.66E-6
49.50E-6,14.77E-9,1.228E-9,11.65E-6
49.57E-6,14.78E-9,1.226E-9,11.65E-6
49.65E-6,14.78E-9,1.222E-9,11.65E-6
49.76E-6,14.79E-9,1.218E-9,11.65E-6
49.90E-6,14.80E-9,1.210E-9,11.64E-6
50.00E-6,14.80E-9,1.204E-9,11.63E-6
50.04E-6,14.81E-9,1.202E-9,11.62E-6
50.07E-6,14.81E-9,1.200E-9,11.61E-6
50.11E-6,14.81E-9,1.197E-9,11.61E-6
50.19E-6,14.82E-9,1.192E-9,11.60E-6
50.30E-6,14.83E-9,1.185E-9,11.60E-6
50.43E-6,14.84E-9,1.177E-9,11.61E-6
50.56E-6,14.84E-9,1.168E-9,11.61E-6
50.72E-6,14.85E-9,1.159E-9,11.62E-6
50.91E-6,14.86E-9,1.149E-9,11.63E-6
51.17E-6,14.87E-9,1.138E-9,11.63E-6
51.48E-6,14.88E-9,1.129E-9,11.62E-6
51.85E-6,14.88E-9,1.125E-9,11.62E-6
52.36E-6,14.87E-9,1.126E-9,11.61E-6
53.16E-6,14.87E-9,1.128E-9,11.59E-6
54.01E-6,14.89E-9,1.112E-9,11.58E-6
55.01E-6,14.96E-9,1.050E-9,11.58E-6
56.01E-6,15.08E-9,941.8E-12,11.58E-6
57.01E-6,15.23E-9,803.7E-12,11.58E-6
58.01E-6,15.38E-9,659.1E-12,11.59E-6
59.01E-6,15.53E-9,523.3E-12,11.61E-6
59.50E-6,15.59E-9,463.0E-12,11.62E-6
59.59E-6,15.60E-9,452.8E-12,11.62E-6
59.68E-6,15.61E-9,441.4E-12,11.63E-6
59.80E-6,15.63E-9,428.3E-12,11.63E-6
59.90E-6,15.64E-9,417.1E-12,11.64E-6
60.00E-6,15.65E-9,405.9E-12,11.64E-6
60.04E-6,15.65E-9,401.4E-12,11.64E-6
60.09E-6,15.66E-9,396.8E-12,11.64E-6
60.13E-6,15.66E-9,392.0E-12,11.64E-6
60.22E-6,15.67E-9,382.6E-12,11.64E-6
60.34E-6,15.68E-9,370.3E-12,11.64E-6
60.48E-6,15.70E-9,357.1E-12,11.65E-6
60.64E-6,15.71E-9,341.7E-12,11.65E-6
60.85E-6,15.73E-9,323.2E-12,11.65E-6
61.11E-6,15.75E-9,300.8E-12,11.65E-6
61.49E-6,15.78E-9,271.9E-12,11.65E-6
61.94E-6,15.81E-9,241.4E-12,11.66E-6
62.52E-6,15.85E-9,207.7E-12,11.68E-6
63.37E-6,15.88E-9,167.5E-12,11.70E-6
64.37E-6,15.92E-9,131.6E-12,11.73E-6
65.37E-6,15.94E-9,104.8E-12,11.76E-6
66.37E-6,15.96E-9,84.92E-12,11.79E-6
67.37E-6,15.97E-9,70.05E-12,11.82E-6
68.37E-6,15.98E-9,58.91E-12,11.85E-6
69.37E-6,15.98E-9,50.53E-12,11.87E-6
69.50E-6,15.98E-9,49.61E-12,11.88E-6
69.54E-6,15.98E-9,49.32E-12,12.05E-6
69.59E-6,15.98E-9,48.88E-12,12.32E-6
69.63E-6,15.99E-9,48.46E-12,12.53E-6
69.70E-6,16.00E-9,47.61E-12,12.82E-6
69.76E-6,16.01E-9,46.61E-12,13.08E-6
69.84E-6,16.02E-9,45.57E-12,13.30E-6
69.93E-6,16.03E-9,44.55E-12,13.51E-6
70.00E-6,16.02E-9,43.82E-12,13.63E-6
70.02E-6,16.02E-9,43.58E-12,13.53E-6
70.05E-6,16.02E-9,43.32E-12,13.43E-6
70.07E-6,16.01E-9,43.03E-12,13.31E-6
70.12E-6,16.01E-9,42.49E-12,13.11E-6
70.18E-6,15.99E-9,41.97E-12,12.93E-6
70.24E-6,15.98E-9,41.38E-12,12.79E-6
70.31E-6,15.96E-9,40.63E-12,12.67E-6
70.41E-6,15.95E-9,39.85E-12,12.59E-6
70.54E-6,15.96E-9,39.23E-12,12.54E-6
70.70E-6,15.96E-9,39.02E-12,12.52E-6
70.90E-6,15.95E-9,39.45E-12,12.53E-6
71.16E-6,15.93E-9,41.46E-12,12.54E-6
71.47E-6,15.91E-9,47.02E-12,12.56E-6
71.88E-6,15.88E-9,60.49E-12,12.57E-6
72.41E-6,15.83E-9,91.64E-12,12.57E-6
73.05E-6,15.72E-9,165.0E-12,12.57E-6
73.73E-6,15.50E-9,319.5E-12,12.56E-6
74.32E-6,15.17E-9,570.3E-12,12.55E-6
74.87E-6,14.67E-9,1.003E-9,12.54E-6
75.12E-6,14.37E-9,1.308E-9,12.53E-6
75.51E-6,13.79E-9,1.947E-9,12.52E-6
75.84E-6,13.16E-9,2.648E-9,12.52E-6
76.21E-6,12.32E-9,3.555E-9,12.51E-6
76.67E-6,11.06E-9,4.865E-9,12.49E-6
77.12E-6,9.692E-9,6.263E-9,12.48E-6
77.64E-6,7.987E-9,8.009E-9,12.46E-6
78.48E-6,5.411E-9,10.65E-9,12.43E-6
79.48E-6,3.104E-9,13.00E-9,12.40E-6
79.50E-6,3.073E-9,13.03E-9,12.40E-6
79.52E-6,3.045E-9,13.06E-9,12.35E-6
79.53E-6,3.020E-9,13.08E-9,12.30E-6
79.54E-6,2.996E-9,13.11E-9,12.25E-6
79.57E-6,2.949E-9,13.15E-9,12.15E-6
79.62E-6,2.865E-9,13.24E-9,11.98E-6
79.67E-6,2.774E-9,13.32E-9,11.80E-6
79.73E-6,2.672E-9,13.41E-9,11.61E-6
79.81E-6,2.559E-9,13.51E-9,11.41E-6
79.91E-6,2.436E-9,13.61E-9,11.19E-6
80.00E-6,2.336E-9,13.70E-9,11.01E-6
80.02E-6,2.313E-9,13.72E-9,11.01E-6
80.05E-6,2.289E-9,13.74E-9,11.02E-6
80.08E-6,2.263E-9,13.76E-9,11.04E-6
80.14E-6,2.215E-9,13.81E-9,11.11E-6
80.21E-6,2.170E-9,13.85E-9,11.19E-6
80.27E-6,2.128E-9,13.90E-9,11.28E-6
80.35E-6,2.088E-9,13.95E-9,11.36E-6
80.45E-6,2.048E-9,14.00E-9,11.44E-6
80.56E-6,2.010E-9,14.03E-9,11.51E-6
80.70E-6,1.980E-9,14.04E-9,11.56E-6
80.86E-6,1.961E-9,14.04E-9,11.59E-6
81.04E-6,1.957E-9,14.04E-9,11.60E-6
81.28E-6,1.973E-9,14.02E-9,11.60E-6
81.57E-6,2.018E-9,13.96E-9,11.59E-6
81.89E-6,2.096E-9,13.88E-9,11.57E-6
82.28E-6,2.221E-9,13.75E-9,11.55E-6
82.81E-6,2.433E-9,13.53E-9,11.53E-6
83.47E-6,2.763E-9,13.20E-9,11.51E-6
84.20E-6,3.201E-9,12.76E-9,11.50E-6
85.09E-6,3.852E-9,12.11E-9,11.49E-6
86.09E-6,4.721E-9,11.25E-9,11.48E-6
87.09E-6,5.748E-9,10.23E-9,11.48E-6
88.09E-6,6.932E-9,9.055E-9,11.49E-6
89.09E-6,8.249E-9,7.751E-9,11.50E-6
89.50E-6,8.811E-9,7.195E-9,11.50E-6
89.54E-6,8.866E-9,7.142E-9,11.56E-6
89.60E-6,8.945E-9,7.064E-9,11.65E-6
89.67E-6,9.054E-9,6.962E-9,11.76E-6
89.74E-6,9.158E-9,6.870E-9,11.85E-6
89.81E-6,9.260E-9,6.781E-9,11.91E-6
89.90E-6,9.375E-9,6.676E-9,11.97E-6
90.00E-6,9.494E-9,6.558E-9,12.04E-6
90.03E-6,9.519E-9,6.531E-9,12.00E-6
90.05E-6,9.543E-9,6.505E-9,11.97E-6
90.08E-6,9.571E-9,6.474E-9,11.93E-6
90.15E-6,9.616E-9,6.420E-9,11.86E-6
90.21E-6,9.647E-9,6.378E-9,11.82E-6
90.27E-6,9.668E-9,6.343E-9,11.78E-6
90.36E-6,9.682E-9,6.317E-9,11.75E-6
90.47E-6,9.684E-9,6.309E-9,11.73E-6
90.62E-6,9.667E-9,6.327E-9,11.72E-6
90.80E-6,9.614E-9,6.382E-9,11.71E-6
91.06E-6,9.486E-9,6.506E-9,11.71E-6
91.39E-6,9.268E-9,6.719E-9,11.70E-6
91.80E-6,8.980E-9,7.007E-9,11.70E-6
92.36E-6,8.666E-9,7.326E-9,11.70E-6
93.18E-6,8.468E-9,7.529E-9,11.71E-6
94.18E-6,8.688E-9,7.313E-9,11.73E-6
95.18E-6,9.292E-9,6.714E-9,11.76E-6
96.18E-6,10.09E-9,5.921E-9,11.80E-6
97.18E-6,10.92E-9,5.101E-9,11.84E-6
98.18E-6,11.66E-9,4.369E-9,11.89E-6
99.18E-6,12.24E-9,3.781E-9,11.93E-6
99.50E-6,12.40E-9,3.623E-9,11.94E-6
99.54E-6,12.42E-9,3.605E-9,11.99E-6
99.59E-6,12.44E-9,3.580E-9,12.06E-6
99.66E-6,12.47E-9,3.550E-9,12.15E-6
99.73E-6,12.50E-9,3.519E-9,12.24E-6
99.80E-6,12.54E-9,3.488E-9,12.31E-6
99.89E-6,12.57E-9,3.454E-9,12.37E-6
99.94E-6,12.59E-9,3.431E-9,12.41E-6
100.0E-6,12.61E-9,3.409E-9,12.44E-6
100.0E-6,12.62E-9,3.401E-9,12.42E-6
100.0E-6,12.63E-9,3.393E-9,12.40E-6
100.1E-6,12.64E-9,3.385E-9,12.37E-6
100.1E-6,12.66E-9,3.367E-9,12.33E-6
100.2E-6,12.68E-9,3.347E-9,12.28E-6
100.2E-6,12.70E-9,3.324E-9,12.24E-6
100.3E-6,12.73E-9,3.298E-9,12.21E-6
100.4E-6,12.76E-9,3.266E-9,12.19E-6
100.5E-6,12.80E-9,3.226E-9,12.17E-6
100.7E-6,12.84E-9,3.180E-9,12.17E-6
100.9E-6,12.88E-9,3.135E-9,12.18E-6
101.1E-6,12.92E-9,3.096E-9,12.19E-6
101.5E-6,12.91E-9,3.091E-9,12.21E-6
101.9E-6,12.81E-9,3.178E-9,12.23E-6
102.5E-6,12.51E-9,3.462E-9,12.24E-6
103.4E-6,11.72E-9,4.239E-9,12.25E-6
104.4E-6,10.28E-9,5.679E-9,12.25E-6
105.3E-6,8.622E-9,7.365E-9,12.25E-6
106.2E-6,6.970E-9,9.042E-9,12.24E-6
107.2E-6,5.418E-9,10.61E-9,12.24E-6
108.2E-6,4.211E-9,11.83E-9,12.23E-6
109.2E-6,3.330E-9,12.71E-9,12.23E-6
109.5E-6,3.142E-9,12.90E-9,12.22E-6
109.5E-6,3.116E-9,12.92E-9,12.12E-6
109.6E-6,3.080E-9,12.96E-9,11.98E-6
109.7E-6,3.042E-9,12.99E-9,11.84E-6
109.7E-6,2.998E-9,13.02E-9,11.69E-6
109.8E-6,2.956E-9,13.05E-9,11.55E-6
109.9E-6,2.918E-9,13.06E-9,11.41E-6
110.0E-6,2.891E-9,13.07E-9,11.26E-6
110.0E-6,2.888E-9,13.07E-9,11.26E-6
110.1E-6,2.886E-9,13.07E-9,11.27E-6
110.1E-6,2.884E-9,13.07E-9,11.30E-6
110.2E-6,2.887E-9,13.07E-9,11.36E-6
110.2E-6,2.897E-9,13.06E-9,11.43E-6
110.3E-6,2.915E-9,13.05E-9,11.49E-6
110.4E-6,2.947E-9,13.03E-9,11.55E-6
110.5E-6,2.997E-9,12.98E-9,11.60E-6
110.6E-6,3.076E-9,12.89E-9,11.64E-6
110.7E-6,3.199E-9,12.75E-9,11.67E-6
110.9E-6,3.374E-9,12.57E-9,11.69E-6
111.1E-6,3.602E-9,12.34E-9,11.70E-6
111.3E-6,3.909E-9,12.03E-9,11.71E-6
111.6E-6,4.337E-9,11.61E-9,11.72E-6
111.9E-6,4.929E-9,11.02E-9,11.73E-6
112.3E-6,5.668E-9,10.29E-9,11.74E-6
112.8E-6,6.657E-9,9.322E-9,11.75E-6
113.4E-6,8.088E-9,7.915E-9,11.75E-6
114.3E-6,9.792E-9,6.237E-9,11.76E-6
115.1E-6,11.27E-9,4.779E-9,11.76E-6
116.1E-6,12.50E-9,3.556E-9,11.76E-6
117.1E-6,13.32E-9,2.730E-9,11.74E-6
118.1E-6,13.87E-9,2.173E-9,11.72E-6
119.1E-6,14.26E-9,1.776E-9,11.69E-6
119.5E-6,14.37E-9,1.663E-9,11.69E-6
119.5E-6,14.42E-9,1.651E-9,11.88E-6
119.6E-6,14.55E-9,1.634E-9,12.19E-6
119.7E-6,14.69E-9,1.619E-9,12.54E-6
119.7E-6,14.69E-9,1.604E-9,12.83E-6
119.8E-6,14.58E-9,1.592E-9,13.06E-6
119.9E-6,14.44E-9,1.593E-9,13.27E-6
119.9E-6,14.35E-9,1.615E-9,13.39E-6
120.0E-6,14.23E-9,1.669E-9,13.49E-6
120.0E-6,14.16E-9,1.702E-9,13.38E-6
120.0E-6,14.06E-9,1.741E-9,13.27E-6
120.1E-6,13.91E-9,1.794E-9,13.15E-6
120.1E-6,13.58E-9,1.932E-9,12.92E-6
120.2E-6,13.28E-9,2.140E-9,12.73E-6
120.2E-6,13.00E-9,2.442E-9,12.57E-6
120.3E-6,12.61E-9,2.905E-9,12.44E-6
120.4E-6,11.98E-9,3.603E-9,12.34E-6
120.5E-6,11.00E-9,4.646E-9,12.27E-6
120.6E-6,9.934E-9,5.826E-9,12.24E-6
120.8E-6,8.752E-9,7.142E-9,12.22E-6
120.9E-6,7.200E-9,8.831E-9,12.21E-6
121.2E-6,5.168E-9,10.99E-9,12.21E-6
121.5E-6,3.796E-9,12.41E-9,12.21E-6
121.7E-6,2.695E-9,13.53E-9,12.20E-6
122.1E-6,1.793E-9,14.43E-9,12.20E-6
122.5E-6,1.134E-9,15.08E-9,12.19E-6
123.0E-6,696.8E-12,15.48E-9,12.18E-6
123.6E-6,423.7E-12,15.72E-9,12.17E-6
124.4E-6,253.0E-12,15.86E-9,12.16E-6
125.3E-6,159.8E-12,15.93E-9,12.15E-6
126.3E-6,108.8E-12,15.96E-9,12.15E-6
127.3E-6,79.98E-12,15.98E-9,12.15E-6
128.3E-6,62.02E-12,15.99E-9,12.15E-6
129.3E-6,50.06E-12,16.00E-9,12.16E-6
129.5E-6,48.59E-12,16.00E-9,12.16E-6
129.5E-6,50.13E-12,15.97E-9,12.12E-6
129.6E-6,51.93E-12,15.85E-9,12.07E-6
129.6E-6,49.00E-12,15.73E-9,12.04E-6
129.7E-6,37.19E-12,15.62E-9,12.00E-6
129.8E-6,25.08E-12,15.62E-9,11.98E-6
129.9E-6,19.03E-12,15.71E-9,11.96E-6
130.0E-6,20.53E-12,15.80E-9,11.95E-6
130.0E-6,22.28E-12,15.82E-9,11.95E-6
130.0E-6,23.94E-12,15.83E-9,11.96E-6
130.0E-6,25.26E-12,15.83E-9,11.97E-6
130.1E-6,22.80E-12,15.85E-9,11.98E-6
130.1E-6,14.64E-12,15.97E-9,12.01E-6
130.1E-6,9.213E-12,16.21E-9,12.04E-6
130.2E-6,16.32E-12,16.31E-9,12.07E-6
130.3E-6,30.24E-12,16.20E-9,12.10E-6
130.3E-6,42.44E-12,16.00E-9,12.11E-6
130.4E-6,53.88E-12,15.84E-9,12.11E-6
130.6E-6,67.89E-12,15.80E-9,12.12E-6
130.7E-6,84.98E-12,15.80E-9,12.12E-6
130.9E-6,112.2E-12,15.79E-9,12.13E-6
131.1E-6,152.7E-12,15.75E-9,12.14E-6
131.4E-6,206.3E-12,15.68E-9,12.15E-6
131.8E-6,273.9E-12,15.60E-9,12.16E-6
132.3E-6,338.1E-12,15.54E-9,12.17E-6
132.9E-6,394.2E-12,15.50E-9,12.17E-6
133.4E-6,423.8E-12,15.51E-9,12.16E-6
134.0E-6,429.8E-12,15.54E-9,12.16E-6
134.7E-6,405.6E-12,15.61E-9,12.15E-6
135.6E-6,342.3E-12,15.70E-9,12.13E-6
136.4E-6,281.0E-12,15.77E-9,12.12E-6
137.3E-6,224.2E-12,15.83E-9,12.10E-6
138.3E-6,172.4E-12,15.88E-9,12.07E-6
139.3E-6,134.5E-12,15.91E-9,12.04E-6
139.5E-6,127.6E-12,15.92E-9,12.04E-6
139.5E-6,126.4E-12,15.92E-9,11.92E-6
139.6E-6,124.9E-12,15.92E-9,11.75E-6
139.6E-6,123.5E-12,15.92E-9,11.60E-6
139.7E-6,121.7E-12,15.91E-9,11.41E-6
139.8E-6,119.8E-12,15.89E-9,11.23E-6
139.9E-6,117.5E-12,15.87E-9,11.05E-6
140.0E-6,115.0E-12,15.86E-9,10.85E-6
140.0E-6,114.9E-12,15.86E-9,10.84E-6
140.0E-6,114.7E-12,15.86E-9,10.84E-6
140.0E-6,114.5E-12,15.86E-9,10.83E-6
140.0E-6,114.4E-12,15.86E-9,10.83E-6
140.0E-6,114.0E-12,15.86E-9,10.84E-6
140.1E-6,113.5E-12,15.86E-9,10.85E-6
140.1E-6,112.6E-12,15.86E-9,10.90E-6
140.2E-6,111.5E-12,15.87E-9,10.97E-6
140.3E-6,110.2E-12,15.88E-9,11.04E-6
140.3E-6,108.9E-12,15.90E-9,11.12E-6
140.4E-6,107.8E-12,15.92E-9,11.21E-6
140.5E-6,107.4E-12,15.91E-9,11.28E-6
140.7E-6,107.8E-12,15.90E-9,11.33E-6
140.8E-6,109.1E-12,15.88E-9,11.37E-6
141.0E-6,111.9E-12,15.87E-9,11.38E-6
141.3E-6,116.8E-12,15.87E-9,11.37E-6
141.5E-6,124.5E-12,15.86E-9,11.35E-6
141.9E-6,138.2E-12,15.83E-9,11.33E-6
142.4E-6,164.4E-12,15.78E-9,11.31E-6
142.9E-6,210.4E-12,15.71E-9,11.29E-6
143.5E-6,291.1E-12,15.61E-9,11.29E-6
144.4E-6,464.2E-12,15.40E-9,11.29E-6
145.4E-6,819.4E-12,15.02E-9,11.30E-6
146.4E-6,1.382E-9,14.48E-9,11.33E-6
147.1E-6,1.963E-9,13.94E-9,11.36E-6
147.9E-6,2.765E-9,13.16E-9,11.39E-6
148.9E-6,4.023E-9,11.92E-9,11.44E-6
149.5E-6,4.965E-9,11.00E-9,11.47E-6
149.5E-6,5.026E-9,10.94E-9,11.57E-6
149.6E-6,5.118E-9,10.85E-9,11.73E-6
149.7E-6,5.265E-9,10.71E-9,11.97E-6
149.8E-6,5.380E-9,10.61E-9,12.12E-6
149.8E-6,5.491E-9,10.51E-9,12.23E-6
149.9E-6,5.617E-9,10.40E-9,12.33E-6
150.0E-6,5.714E-9,10.30E-9,12.41E-6
150.0E-6,5.741E-9,10.27E-9,12.35E-6
150.0E-6,5.769E-9,10.24E-9,12.29E-6
150.1E-6,5.800E-9,10.21E-9,12.23E-6
150.1E-6,5.856E-9,10.15E-9,12.12E-6
150.2E-6,5.907E-9,10.09E-9,12.03E-6
150.2E-6,5.954E-9,10.04E-9,11.97E-6
150.3E-6,5.998E-9,9.988E-9,11.91E-6
150.4E-6,6.037E-9,9.947E-9,11.87E-6
150.6E-6,6.067E-9,9.924E-9,11.85E-6
150.7E-6,6.074E-9,9.926E-9,11.84E-6
150.9E-6,6.042E-9,9.964E-9,11.85E-6
151.2E-6,5.946E-9,10.06E-9,11.87E-6
151.5E-6,5.756E-9,10.25E-9,11.89E-6
152.0E-6,5.458E-9,10.56E-9,11.92E-6
152.5E-6,5.014E-9,11.01E-9,11.96E-6
153.2E-6,4.413E-9,11.62E-9,12.00E-6
154.2E-6,3.578E-9,12.46E-9,12.05E-6
155.2E-6,2.813E-9,13.24E-9,12.09E-6
156.2E-6,2.180E-9,13.87E-9,12.12E-6
157.2E-6,1.689E-9,14.36E-9,12.14E-6
158.2E-6,1.327E-9,14.72E-9,12.15E-6
159.2E-6,1.068E-9,14.98E-9,12.16E-6
159.5E-6,1.016E-9,15.03E-9,12.16E-6
159.5E-6,1.008E-9,15.03E-9,12.07E-6
159.6E-6,997.1E-12,15.04E-9,11.95E-6
159.7E-6,986.2E-12,15.05E-9,11.83E-6
159.7E-6,973.7E-12,15.05E-9,11.70E-6
159.8E-6,962.0E-12,15.04E-9,11.58E-6
159.9E-6,952.0E-12,15.03E-9,11.45E-6
